id,slug,name,category,description,min_amount,max_amount,min_duration_months,max_duration_months,min_rate,max_rate,default_rate,application_fee_percent,is_active,sort_order,created_at,updated_at
0c6925f4-7d92-41a9-b358-1d126fb41279,micro-credit,Micro-crédit,credit,"Petits montants dès 20€, profils atypiques acceptés.",20.00,500.00,1,3,12.00,25.00,18.00,1.00,true,1,2026-05-28 12:54:23.040237+00,2026-05-28 21:34:50.852945+00
306683d3-c33e-4d7e-9cd3-82fc73e4befb,leasing,Leasing,credit,"Le bien sert de garantie, taux avantageux.",1000.00,20000.00,12,60,5.00,14.00,9.00,1.50,true,6,2026-05-28 12:54:23.040237+00,2026-05-28 21:34:50.852945+00
41340b75-3fa9-4cbd-bee5-5d10bb757dbb,consumer,Crédit conso,credit,Crédit à la consommation 100% transparent.,500.00,5000.00,3,36,6.00,22.00,12.00,1.00,true,2,2026-05-28 12:54:23.040237+00,2026-05-28 21:34:50.852945+00
79668ece-d730-4a49-b685-20e66ae851ef,financial-coaching,Coaching financier,service,"Accompagnement budgétaire (basic inclus, premium ~25€/mois).",0.00,0.00,1,12,0.00,0.00,0.00,0.00,true,8,2026-05-28 12:54:23.040237+00,2026-05-28 21:34:50.852945+00
866a2b0d-da4d-403f-9343-390a810648e5,student,Prêt étudiant,credit,"Sans garant, différé possible.",500.00,5000.00,6,36,6.00,15.00,9.00,0.00,true,4,2026-05-28 12:54:23.040237+00,2026-05-28 21:34:50.852945+00
89d1c7f8-46de-419f-b2ec-dc69213d45ca,salary-advance,Avance sur salaire,credit,"Évitez le découvert, remboursement court.",50.00,1500.00,1,2,8.00,20.00,14.00,0.00,true,5,2026-05-28 12:54:23.040237+00,2026-05-28 21:34:50.852945+00
b5df56b9-10e4-4857-9876-c440ade7a5d8,loan-consolidation,Regroupement de crédits,credit,"Une seule mensualité, plus de visibilité.",1000.00,50000.00,12,84,6.00,16.00,11.00,1.00,true,7,2026-05-28 12:54:23.040237+00,2026-05-28 21:34:50.852945+00
f2751441-788e-4bf6-b296-f24223f9aba0,professional,Crédit pro,credit,"Financement TPE/PME, revenus variables acceptés.",1000.00,10000.00,3,24,6.00,20.00,11.00,1.00,true,3,2026-05-28 12:54:23.040237+00,2026-05-28 21:34:50.852945+00
